"The capture action is not available.","La fonction de conclusion n'est pas disponible."
"Payment gateway refunding error.","Erreur de remise de la passerelle de paiement."
"Authorize Only","Autorisation seulement"
"Authorize and Capture","Autorisation et conclusion"
"Sorry but your transaction was unsuccessful.","Désolé, votre transaction a échoué."
"Your order has been successfully created!","Votre commande a été créée avec succès!"
"Token has been deleted successfully","Le jeton a été supprimé avec succès."
"You have updated the token successfully.","Vous avez mis à jour le jeton avec succès".
"You have created a token successfully.","Vous avez créé le jeton avec succès."
"You have created token successful.","Vous avez créé le jeton avec succès."
"Sorry but we are unable to create or update your token at this time.","Désolé, nous ne sommes en mesure de créer ou de mettre à jour votre jeton en ce moment."
"You have canceled successful.","Annulé avec succès."
"My Card","Ma carte"
"Create New Card","Créer une nouvelle carte"
"Update Card Information","Mettre à jour les renseignements de la carte"
"Your order number is: %1.","Votre numéro de commande est le : %1."
"Your order # is: <span>%1</span>.","Votre no de commande est le : <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Vous recevrez par courriel la confirmation et les détails de la commande ainsi que les renseignements de suivi."
"Continue Shopping","Poursuivre vos achats"
"Card Information","Renseignements de la carte"
"Card Type","Type de carte"
"Card Number","Numéro de carte"
"Credit Card Number","Numéro de carte"
"Expiration Date","Date d'expiration"
"Required Fields","Champs obligatoires"
"Billing Address","Adresse de facturation"
"Company","Entreprise"
"Phone Number","Numéro de téléphone"
"Fax","Télécopieur"
"Save Billing Address","Enregistrer l'adresse de facturation"
"Street Address","Adresse"
"Street Address %1","Adresse %1"
"VAT Number","Numéro de référence TVA"
"City","Ville"
"State/Province","État/province"
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"Zip/Postal Code","Code postal"
"Country","Pays"
"Default Billing Address","Adresse de facturation par défaut"
"Use as my default billing address","Établir comme mon adresse de facturation par défaut"
"Default Shipping Address","Adresse d'expédition par défaut"
"Use as my default shipping address","Établir comme mon adresse d'expédition par défaut"
"Save Address","Enregistrer l'adresse"
"Continue","Continuer"
"Go back","Retourner"
"Create new token","Créer un nouveau jeton"
"Cc Last 4","4 derniers chiffres CC"
"Created At","Date de création"
"Updated At","Date de mise à jour"
"Action","Action"
"Update","Mettre à jour"
"Delete","Supprimer"
"Discount amount: ","Montant du rabais : "
"Tax amount: ","Montant des taxes : "
"The capture action is not available.","La fonction de conclusion n'est pas disponible."
"Traditional Express Checkout","Paiement traditionnel express"
"In-Context Express Checkout","Paiement express en contexte"
"Were sorry. Your order can"t be processed. Please contact customer support.","Nous sommes désolés. Votre commande n'a pu être traitée. Veuillez communiquer avec le service à la clientèle."
"The payment has been declined by your bank","Le paiement a été refusé par votre banque."
"DM fail email template","DM erreur de gabarit de courriel"
"%1 order(s) cannot be canceled.","Nombre de commandes ne pouvant être annulées : %1"
"You cannot cancel the order(s).","Les commandes ne peuvent pas être annulées."
"We canceled %1 order(s).","Nous avons annulé %1 commande(s)."
"Order saving error: %1","Erreur d'enregistrement de commande : %1"
"Please choose a payment method.","Veuillez choisir le mode de paiement."
"You have not canceled the item.","Vous n'avez pas annulé l'article."
"You canceled the order.","Vous avez annulé la commande."
"Token","Jeton"
"No Tokens for this customer","Aucun jeton pour ce client"
"Payer Authentication","Authentification du payeur"
"Gateway error: %1","Erreur de passerelle : %1"
"First Name","Prénom"
"Last Name","Nom de famille"
"Select predefined credit card","Choisissez une carte de crédit prédéfinie"
"New credit card","Nouvelle carte de crédit"
"My billing and shipping address are the same","Mes adresses de facturation et d'expédition sont les mêmes"
"Use new token","Utiliser un nouveau jeton"
"Select predefined credit card","Choisissez une carte de crédit prédéfinie"
"You have no predefined payment methods. You can define a new one ","Vous n'avez pas de méthode de paiement prédéfinie. Définissez-en une nouvelle "
"here","ici"
"Financial Institution: ","Institutions financière : "
"Confirmation Number: ","Numéro de confirmation : "
"Your payment payment was successful.","Votre paiement a été traité avec succès."
"We'll email you an order confirmation with details and tracking info.","Vous recevrez par courriel la confirmation et les détails de la commande ainsi que les renseignements de suivi."
"Sequence Number: ","Numéro de séquence : "
"Amount charged: ","Montant facturé : "
"Select Card","Choisissez la carte"
"Add new card","Ajoutez une nouvelle carte"
"Get Support","Obtenez de l'aide"
